,표준코드,단축코드,한글 종목명,한글 종목약명,영문 종목명,상장일,시장구분,증권구분,소속부,주식종류,액면가,상장주식수
1556,KR7037400009,A037400,우리조명,우리조명,"WOOREE LIGHTING CO.,LTD",1999/12/16,KOSDAQ,주권,중견기업부,보통주,500,26223346
1557,KR7010050003,A010050,우리종합금융보통주,우리종금,Woori Investment Bank,1974/09/11,KOSPI,주권,,보통주,500,874203406
1558,KR7101170009,A101170,우림피티에스,우림피티에스,WOORIM POWER TRAIN SOLUTION,2009/04/28,KOSDAQ,주권,벤처기업부,보통주,500,13500000
1559,KR7006980007,A006980,우성보통주,우성,WOOSUNG,1988/10/10,KOSPI,주권,,보통주,5000,3090000
1560,KR7066590001,A066590,우수AMS,우수AMS,"WOOSU AMS CO., LTD.",2003/02/12,KOSDAQ,주권,중견기업부,보통주,500,35618100
1561,KR7017370008,A017370,우신시스템보통주,우신시스템,WooshinSystems,2002/05/28,KOSPI,주권,,보통주,500,18314054
1562,KR7103840005,A103840,우양,우양,"WOOYANG CO., LTD.",2019/11/20,KOSDAQ,주권,중견기업부,보통주,100,14258000
1563,KR7046940003,A046940,우원개발,우원개발,"Woowon Development Co., Ltd.",2002/06/18,KOSDAQ,주권,우량기업부,보통주,500,18074350
1564,KR7215380007,A215380,우정바이오,우정바이오,"WOOJUNG BIO, Inc.",2015/05/18,KOSDAQ,주권,벤처기업부,보통주,500,12092926
1565,KR7065680001,A065680,우주일렉트로닉스,우주일렉트로,"UJU ELECTRONICS CO., LTD",2004/01/02,KOSDAQ,주권,우량기업부,보통주,500,9934220
1566,KR7105840003,A105840,우진보통주,우진,WOOJIN INC,2010/07/26,KOSPI,주권,,보통주,500,20323614
1567,KR7018620005,A018620,우진비앤지,우진비앤지,"WooGene B&G CO., Ltd",2008/05/20,KOSDAQ,주권,벤처기업부,보통주,500,28889293
1568,KR7010400000,A010400,우진아이엔에스보통주,우진아이엔에스,WOOJINI&S,2018/09/14,KOSPI,주권,,보통주,500,7622000
1569,KR7049800006,A049800,우진플라임 보통주,우진플라임,"WOOJIN PLAIMM CO., LTD",2006/05/24,KOSPI,주권,,보통주,500,20000000
1570,KR7016880007,A016880,웅진보통주,웅진,WOONGJIN,1994/11/05,KOSPI,주권,,보통주,500,79927080
1571,KR7095720009,A095720,웅진씽크빅 보통주,웅진씽크빅,"WOONGJIN THINKBIG CO., LTD.",2007/05/31,KOSPI,주권,,보통주,500,115505985
1572,KR7005820006,A005820,원림보통주,원림,Wonlim,1990/04/20,KOSPI,주권,,보통주,5000,2297970
1573,KR7307280008,A307280,원바이오젠,원바이오젠,Wonbiogen,2018/12/05,KOSDAQ,주권,벤처기업부,보통주,100,36454408
1574,KR7053080008,A053080,원방테크,원방테크,"WONBANG TECH CO., LTD.",2020/09/24,KOSDAQ,주권,우량기업부,보통주,500,12999807
1575,KR7032940009,A032940,원익,원익,WonIk,1997/07/18,KOSDAQ,주권,벤처기업부,보통주,500,18193230
1576,KR7104830005,A104830,원익머트리얼즈,원익머트리얼즈,"WONIK Materials Co., Ltd.",2011/12/28,KOSDAQ,주권,우량기업부,보통주,500,12608000
